agent,userType,policy_mode,producer,policy_number,premium_amount_written,premium_amount,policy_type,company_name,category_name,policy_start_date,policy_end_date,csr,account_name,email,gender,firstname,city,account_type,phone,address,state,zip,dob,primary,Applicant ID,agency_id,hasActive ClientPolicy
John Snow,Active Client,12,Alfredo Condit,L81T72PPWI8W,,1016,Single,Nationwide Mut Fire Ins Co,Dwelling Fire,2018-08-26,2019-08-26,Todd Mckee,Thomasina Ackermann & Son Ward,carreras@optonline.net,Male,Thomasina Ackermann,Winston Salem,Personal,5514109473,5200 Bear Creek Rd,NC,27106-9603,1970-10-27,,,,
John Snow,Active Client,12,Phil Chico,M1HBXUC2F512,,639,Single,Nationwide Mut Fire Ins Co_Copy,Dwelling Fire,2018-10-06,2019-10-06,Sherri Austin,Librada Wysocki & Jamal Shaw,qrczak@aol.com,Male,Librada Wysocki,Tobaccoville,Personal,7805882075,4505 Rolling Hill Dr,NC,27050-9677,1970-10-27,,,,
John Snow,Active Client,12,Brandie Placencia,RK1RNHSQEIKN,,450,Single,Nationwide Mut Fire Ins Co,Dwelling Fire,2018-07-13,2019-07-13,Lacy Gibson,Bruce Melody & Burl Hood,glenz@yahoo.com,,Bruce Melody,Tobaccoville,Personal,4073337534,4505 Rolling Hill Dr,NC,27050-9677,1951-07-19,,,,
John Snow,Active Client,12,Sol Birney,IDQ3OCRXLC1H,,385,Single,Nationwide Mut Fire Ins Co,Dwelling Fire,2018-02-27,2019-02-27,Wyatt Holland,Rosette Copley & Carla Johnson,bester@yahoo.com,Male,Rosette Copley,Kernersville,Personal,3674896889,115 Broad St,NC,27284-2925,1980-12-26,,,,
John Snow,Active Client,12,Yee Ribble,L9EMNY6UP0W9,,385,Single,Nationwide Mut Fire Ins Co_Copy,Dwelling Fire,2018-02-27,2019-02-27,Kris Owen,Dominique Caudell & Paige Frost,konit@att.net,Male,Dominique Caudell,Kernersville,Personal,1878435074,115 Broad St,NC,27284-2925,1980-12-26,,,,
John Snow,Active Client,12,Carmella Landers,PBAJXZR7KNI1,,385,Single,Nationwide Mut Fire Ins Co_Copy,Dwelling Fire,2018-02-27,2019-02-27,Luann Summers,Daron Clermont & Hunter Benitez,epeeist@yahoo.com,Male,Daron Clermont,Kernersville,Personal,7604546413,115 Broad St,NC,27284-2925,1952-02-22,,,,
John Snow,Active Client,12,Jared Roan,288EL80I9Q64,,652,Single,Nationwide Mut Fire Ins Co_Copy,Dwelling Fire,2018-12-04,2019-12-04,Opal Orozco,Janine Schwantes & Leta Summers,rddesign@hotmail.com,Female,Janine Schwantes,Winston Salem,Personal,7706400948,4290 Linecrest Dr,NC,27106-2023,1988-08-20,,,,
John Snow,Active Client,12,Victorina Ebert,SKO94HE7Z5GS,,542,Single,Nationwide Mut Fire Ins Co,Dwelling Fire,2018-05-30,2019-05-30,Bobbi Moore,Oswaldo Vale & Mauro Maxwell,cameron@yahoo.com,Male,Oswaldo Vale,Winston Salem,Personal,3602275372,2241 Tryon St,NC,27107-3522,1974-10-23,,,,
John Snow,Active Client,12,Emiko Lobo,4OUG9LEL8IKS,,542,Single,Nationwide Mut Fire Ins Co_Copy,Dwelling Fire,2018-05-30,2019-05-30,Lola Yu,Riley Winkfield & Lilian Duran,andale@yahoo.com,Male,Riley Winkfield,Winston Salem,Personal,8978336339,2241 Tryon St,NC,27107-3522,1974-10-23,,,,
John Snow,Active Client,12,Xavier Hughes,Z91QVKW7XJKC,,542,Single,Nationwide Mut Fire Ins Co_Copy,Dwelling Fire,2018-05-30,2019-05-30,Jesus Chase,Bennett Wykoff & Ola Larson,oneiros@outlook.com,Male,Bennett Wykoff,Winston Salem,Personal,7263164067,2241 Tryon St,NC,27107-3522,1974-10-23,,,,
John Snow,Active Client,12,Aubrey Loder,X90APZVXU227,,625,Single,Nationwide Mut Fire Ins Co,Dwelling Fire,2018-08-21,2019-08-21,Beulah Osborne,Lamonica Kinsey & Denny Mcgrath,sopwith@comcast.net,Female,Lamonica Kinsey,Concord,Personal,8861065257,385 Freedom St Sw,NC,28025-5533,1974-10-23,,,,
John Snow,Active Client,12,Dayle Mckeithan,8NLCHDUMW857,,643,Single,Nationwide Mut Fire Ins Co,Dwelling Fire,2018-09-01,2019-09-01,Selma Arnold,Alethia Ostlund & Beulah Zhang,scarolan@icloud.com,Male,Alethia Ostlund,Greensboro,Personal,3863774157,P.O. BOX 38452,NC,27438-8452,1974-10-23,,,,
John Snow,Active Client,12,Lurlene Raynes,4V6NJW8V346I,,1839,Single,Nationwide Mut Fire Ins Co,Dwelling Fire,2018-07-26,2019-07-26,Clint Garza,Catherina Ng & Percy Sanchez,agolomsh@hotmail.com,Female,Catherina Ng,Winston Salem,Personal,7395755821,1102 Ne 22Nd St,NC,27105-5314,1974-10-23,,,,
John Snow,Active Client,12,Alton Shute,G5Y4FREPHOO7,,1418,Single,Nationwide Mut Fire Ins Co,Dwelling Fire,2018-07-30,2019-07-30,Simone Sharp,Shemeka Ponce & Warren Hodges,elmer@me.com,Male,Shemeka Ponce,Indian Trail,Personal,3689138043,503 Dovefield Dr,NC,28079-4121,1974-10-23,,,,
John Snow,Active Client,12,Vasiliki Stiefel,C004F4MB9QNM,,620,Single,Nationwide Mut Fire Ins Co,Dwelling Fire,2018-08-02,2019-08-02,Leslie Prince,Emerson Hendricks & Katie Petty,dodong@verizon.net,Female,Emerson Hendricks,Mcleansville,Personal,3110791662,422 Stoney Run Dr,NC,27301-9807,1974-10-23,,,,
John Snow,Active Client,12,Ignacio Lewellen,3PPBH5Y2G4E1,,211,Single,Nationwide Mut Fire Ins Co_Copy,Dwelling Fire,2018-11-01,2019-11-01,Jaime Meadows,Shad Dilorenzo & Ricky Frazier,fbriere@verizon.net,Female,Shad Dilorenzo,Cary,Personal,4276267229,131 Stanopal Dr,NC,27511-3594,1975-07-20,,,,
