agent,userType,policy_mode,producer,policy_number,premium_amount_written,premium_amount,policy_type,company_name,category_name,policy_start_date,policy_end_date,csr,account_name,email,gender,firstname,city,account_type,phone,address,state,zip,dob,primary,Applicant ID,agency_id,hasActive ClientPolicy
Rita Ora,Active Client,12,Alfredo Condit,YRE3DV0F8EU7,,1265,Single,Nationwide Mut Fire Ins Co_Copy,Homeowners,2018-12-18,2019-12-18,Lacy Gibson,Talisha Turck & Sammy Farley,niknejad@verizon.net,Male,Talisha Turck,Winston Salem,Personal,3157913527,3719 Danube Dr,NC,27105-4158,1944-08-12,,,,
Rita Ora,Active Client,12,Phil Chico,C4I51T854MI5,,692,Single,Nationwide Mut Fire Ins Co,Homeowners,2018-04-12,2019-04-12,Wyatt Holland,Nisha Sherburne & Royal Esparza,ahmad@yahoo.com,Female,Nisha Sherburne,King,Personal,3348854738,1015 Vicki Ln,NC,27021-8017,1944-08-12,,,,
Rita Ora,Active Client,12,Brandie Placencia,T9T89HXYAAWH,,692,Single,Nationwide Mut Fire Ins Co_Copy,Homeowners,2018-04-12,2019-04-12,Kris Owen,Douglas Stiger & Silas Valdez,flavell@verizon.net,Female,Douglas Stiger,King,Personal,4670705931,1015 Vicki Ln,NC,27021-8017,1944-08-12,,,,
Rita Ora,Active Client,12,Sol Birney,8KN3SY7D3GU9,,1711,Single,Nationwide Mut Fire Ins Co,Homeowners,2018-04-30,2019-04-30,Luann Summers,Cheree Buchmann & Horace Conrad,kourai@hotmail.com,Male,Cheree Buchmann,Clemmons,Personal,1280545760,8004 Kilcash Ct,NC,27012-8666,1944-08-12,,,,
Rita Ora,Active Client,12,Yee Ribble,D4JA9S68C3H8,,1153,Single,Nationwide Mut Fire Ins Co,Homeowners,2018-05-29,2019-05-29,Opal Orozco,Mirta Gamache & Efrain Sharp,parsimony@yahoo.com,Male,Mirta Gamache,Rural Hall,Personal,1424678785,5871 Stanleyville Dr,NC,27045-9666,1944-08-12,,,,
Rita Ora,Active Client,12,Carmella Landers,X65YQMAAM0YB,,732,Single,Nationwide Mut Fire Ins Co,Homeowners,2018-08-03,2019-08-03,Bobbi Moore,Jerrie Delia & Irene Riley,studyabr@optonline.net,Female,Jerrie Delia,Winston Salem,Personal,3053655468,2335 Griffith Rd,NC,27103-6411,1944-08-12,,,,
Rita Ora,Active Client,12,Jared Roan,99I714099ISJ,,266,Single,Nationwide Mut Fire Ins Co_Copy,Renters,2019-01-03,2020-01-03,Lola Yu,Bianca Grable & Elena Ruiz,webdragon@gmail.com,Male,Bianca Grable,Winston Salem,Personal,6568501193,P.O. BOX 12434,NC,27117-2434,1944-08-12,,,,
Rita Ora,Active Client,12,Victorina Ebert,TKQSFDWZJ1RN,,571,Single,Nationwide Mut Fire Ins Co,Homeowners,2018-09-28,2019-09-28,Jesus Chase,Wilburn Farrelly & Rae Allen,empathy@icloud.com,Male,Wilburn Farrelly,Winston Salem,Personal,5413248081,5062 Scenic Dr,NC,27105-2450,1944-08-12,,,,
Rita Ora,Active Client,12,Emiko Lobo,4PHOION6KZR3,,705,Single,Nationwide Mut Fire Ins Co,Homeowners,2018-04-06,2019-04-06,Beulah Osborne,Mee Weddell & Elisa Cordova,kourai@comcast.net,Female,Mee Weddell,Winston Salem,Personal,3534960402,113 Lillian Ct,NC,27103-5321,1974-10-03,,,,
Rita Ora,Active Client,12,Xavier Hughes,M0M1Z26VQNU3,,705,Single,Nationwide Mut Fire Ins Co_Copy,Homeowners,2018-04-06,2019-04-06,Selma Arnold,Cheryl Rosenow & Kirby Mata,treit@aol.com,Female,Cheryl Rosenow,Winston Salem,Personal,3096450181,113 Lillian Ct,NC,27103-5321,1974-10-03,,,,
Rita Ora,Active Client,12,Aubrey Loder,BHG56XPFJ9BC,,705,Single,Nationwide Mut Fire Ins Co_Copy,Homeowners,2018-04-06,2019-04-06,Clint Garza,Ashly Stever & Reggie Garner,feamster@att.net,Female,Ashly Stever,Winston Salem,Personal,6731585086,113 Lillian Ct,NC,27103-5321,1995-02-04,,,,
Rita Ora,Active Client,12,Dayle Mckeithan,3F1CYM2UZPDU,,379,Single,Nationwide Mut Fire Ins Co_Copy,Condo,2018-11-30,2019-11-30,Simone Sharp,Thurman Yokoyama & Nina Bradley,jonathan@verizon.net,Female,Thurman Yokoyama,Winston Salem,Personal,3842450131,3135 Bonhurst Dr,NC,27106-5304,1995-02-04,,,,
Rita Ora,Active Client,12,Lurlene Raynes,JIS47T5QLJFQ,,835,Single,Nationwide Mut Fire Ins Co_Copy,Homeowners,2019-02-21,2020-02-21,Leslie Prince,Adriane Peckham & Curt Pace,malattia@outlook.com,Female,Adriane Peckham,Winston Salem,Personal,5327152793,851 W 11Th St,NC,27105-6527,1968-12-21,,,,
Rita Ora,Active Client,12,Alton Shute,DGF4FNXNA6AI,,835,Single,Nationwide Mut Fire Ins Co_Copy,Homeowners,2019-02-21,2020-02-21,Jaime Meadows,Willow Semon & Arlie Galvan,rupak@verizon.net,Female,Willow Semon,Winston Salem,Personal,1431749338,851 W 11Th St,NC,27105-6527,1968-12-21,,,,
Rita Ora,Active Client,12,Vasiliki Stiefel,8G49N3Z35IMP,,561,Single,Nationwide Mut Fire Ins Co,Homeowners,2018-03-20,2019-03-20,Lisa Palmer,Nana Specht & Deena Frye,ournews@me.com,Female,Nana Specht,Winston Salem,Personal,4712127011,4541 Kreeger Rd,NC,27106-1666,1978-10-24,,,,
Rita Ora,Active Client,12,Ignacio Lewellen,DH770L34MPF0,,561,Single,Nationwide Mut Fire Ins Co_Copy,Homeowners,2018-03-20,2019-03-20,Kent Weber,Dalia Jerome & Essie Kirby,library@comcast.net,Female,Dalia Jerome,Winston Salem,Personal,1691001621,4541 Kreeger Rd,NC,27106-1666,1978-10-24,,,,
Rita Ora,Active Client,12,Brice Delatorre,9MWSV6LP7DZ9,,561,Single,Nationwide Mut Fire Ins Co_Copy,Homeowners,2018-03-20,2019-03-20,Kenny Raymond,Willene Parkhurst & Noel Meza,yfreund@icloud.com,Female,Willene Parkhurst,Winston Salem,Personal,2087730740,4541 Kreeger Rd,NC,27106-1666,1978-10-24,,,,
Rita Ora,Active Client,12,Leonardo Setser,QHQM5XGUV9DX,,928,Single,Nationwide Mut Fire Ins Co,Condo,2018-03-09,2019-03-09,Dustin Lowe,Meryl Morvant & Lucio Vance,miyop@optonline.net,Male,Meryl Morvant,Winston Salem,Personal,8813823721,Box B 315,NC,27104-1135,1978-10-24,,,,
Rita Ora,Active Client,12,Colene Dinapoli,RL6NQL0BJ9BQ,,928,Single,Nationwide Mut Fire Ins Co_Copy,Condo,2018-03-09,2019-03-09,Maggie Gilbert,Noelia Toy & Shawna Bowen,oneiros@icloud.com,Male,Noelia Toy,Winston Salem,Personal,2727371672,Box B 315,NC,27104-1135,1978-10-24,,,,
Rita Ora,Active Client,12,Shara Sayer,TQAJBBMKXVCS,,1161,Single,Nationwide Mut Fire Ins Co,Homeowners,2018-04-23,2019-04-23,Deann Greer,Mickie Meints & Elaine Jarvis,sokol@yahoo.ca,Male,Mickie Meints,Winston Salem,Personal,4336326771,2548 Huntington,NC,27103-6634,1972-08-09,,,,
Rita Ora,Active Client,12,Mica Maly,E514SYJI37GA,,1161,Single,Nationwide Mut Fire Ins Co_Copy,Homeowners,2018-04-23,2019-04-23,Dirk Newton,Shera Connors & Julio Brooks,smpeters@verizon.net,Male,Shera Connors,Winston Salem,Personal,6347511336,2548 Huntington,NC,27103-6634,1974-09-19,,,,
Rita Ora,Active Client,12,Roy Dries,7MS2ISV2MBO5,,1244,Single,Nationwide Mut Fire Ins Co,Homeowners,2018-04-30,2019-04-30,Korey Romero,Lane Warden & Martha Cross,errxn@sbcglobal.net,Male,Lane Warden,Walkertown,Personal,6385829651,5812 Belews Creek Rd,NC,27051-9432,1966-10-22,,,,
Rita Ora,Active Client,12,Quinton Spece,4N8OJ5YUYAKI,,827,Single,Nationwide Mut Fire Ins Co_Copy,Homeowners,2018-10-01,2019-10-01,Adrian Roy,Vincenza Ketcham & Brent Mora,frode@msn.com,Female,Vincenza Ketcham,Winston Salem,Personal,4564809834,4836 Selwyn Dr,NC,27104-4499,1966-10-22,,,,
Rita Ora,Active Client,12,Lucius Mease,6N6JC6BKG54S,,594,Single,Nationwide Mut Fire Ins Co_Copy,Homeowners,2018-10-12,2019-10-12,Erwin Barker,Melba Swartout & Vance Oconnor,mpiotr@yahoo.com,Female,Melba Swartout,Winston Salem,Personal,3581503734,2042 Queen St,NC,27103-2628,1983-12-10,,,,
Rita Ora,Active Client,12,Irvin Cline,CMIENS9KMVRH,,831,Single,Nationwide Mut Fire Ins Co,Homeowners,2018-06-25,2019-06-25,Delmer Byrd,Chia Corson & Fidel Huynh,mcmillan@live.com,Female,Chia Corson,Winston Salem,Personal,4361189842,390 Lynhaven Dr,NC,27104-2608,1987-07-17,,,,
Rita Ora,Active Client,12,Annalisa Rendon,XSZGVZC3A17J,,1331,Single,Nationwide Mut Fire Ins Co,Homeowners,2018-06-26,2019-06-26,Kenton Curtis,Berta Marsico & Misty Golden,muzzy@mac.com,Male,Berta Marsico,Winston Salem,Personal,5312466265,1437 Butler St,NC,27107-1507,1965-09-06,,,,
Rita Ora,Active Client,12,Emmaline Ceja,TY7ZY5SZ8DZN,,1292,Single,Nationwide Mut Fire Ins Co_Copy,Homeowners,2018-11-30,2019-11-30,Randy Moss,Regenia Wheaton & Sidney Sellers,lbaxter@optonline.net,Male,Regenia Wheaton,Kernersville,Personal,4948106994,7190 Smokerise Ln,NC,27284-9686,1989-08-04,,,,
Rita Ora,Active Client,12,Fransisca Mach,G1826RGD00RH,,1750,Single,Nationwide Mut Fire Ins Co,Homeowners,2018-07-26,2019-07-26,Reuben Stokes,Ailene Hammock & Cora Arias,sequin@verizon.net,Female,Ailene Hammock,Winston Salem,Personal,8407988720,4400 Bridle Path,NC,27103-9763,1989-08-04,,,,
Rita Ora,Active Client,12,Carlos Ericsson,R0XOYQ350PFS,,1344,Single,Nationwide Mut Fire Ins Co,Homeowners,2018-04-09,2019-04-09,Donnie Key,Magdalen Veilleux & Wm Kline,jfriedl@verizon.net,Male,Magdalen Veilleux,Rural Hall,Personal,2674504555,1115 Skye Abbey Ln,NC,27045-9532,1968-10-03,,,,
Rita Ora,Active Client,12,Hoyt Pressler,TSMINKWHDGCA,,782,Single,Nationwide Mut Fire Ins Co_Copy,Homeowners,2018-10-24,2019-10-24,Richie Young,Donya Cumpston & Allen Cooke,haddawy@mac.com,Female,Donya Cumpston,Winston Salem,Personal,3274146470,2707 Edinburg Dr,NC,27103-5742,1987-10-22,,,,
Rita Ora,Active Client,12,Alayna Meekins,PGDQLFNRPVNV,,898,Single,Nationwide Mut Fire Ins Co_Copy,Homeowners,2018-12-12,2019-12-12,Troy Norton,Bobbye Tumlinson & Hank Acosta,dmath@optonline.net,Female,Bobbye Tumlinson,Winston Salem,Personal,3723865834,408 Ridgehaven Dr,NC,27104-4474,1987-10-22,,,,
Rita Ora,Active Client,12,Cindi Paschall,32J3SW0KFKES,,991,Single,Nationwide Mut Fire Ins Co,Homeowners,2018-04-30,2019-04-30,Burton Stanley,Janell Barrows & Roy Buck,leakin@mac.com,Male,Janell Barrows,Winston Salem,Personal,9923973552,2363 Westfield Ave,NC,27103-3642,1973-06-08,,,,
Rita Ora,Active Client,12,Tennille Brinkerhoff,AROY5OY6CLNS,,709,Single,Nationwide Mut Fire Ins Co_Copy,Homeowners,2018-11-16,2019-11-16,Rick Kramer,Odilia Lamothe & Erin Mcmahon,frederic@comcast.net,Female,Odilia Lamothe,Germanton,Personal,3830950907,6661 Andes St,NC,27019-9504,1973-06-08,,,,
Rita Ora,Active Client,12,Crista Manuel,9QE3BP84KK2J,,1007,Single,Nationwide Mut Fire Ins Co_Copy,Homeowners,2018-12-28,2019-12-28,Scott Chang,Bertie Kua & Werner Malone,jipsen@yahoo.com,Male,Bertie Kua,Clemmons,Personal,4524340142,3674 Tanglebrook Trl,NC,27012-8507,1989-07-10,,,,
Rita Ora,Active Client,12,Justine Hockenberry,Z3B0KZT81LPW,,1007,Single,Nationwide Mut Fire Ins Co_Copy,Homeowners,2018-12-28,2019-12-28,Maria Patton,Arlyne Bayliss & Miguel Clayton,bader@msn.com,Male,Arlyne Bayliss,Clemmons,Personal,2571322866,3674 Tanglebrook Trl,NC,27012-8507,1977-01-01,,,,
