agent,userType,policy_mode,producer,policy_number,premium_amount_written,premium_amount,policy_type,company_name,category_name,policy_start_date,policy_end_date,csr,account_name,email,gender,firstname,city,account_type,phone,address,state,zip,dob,primary,Applicant ID,agency_id,hasActive ClientPolicy
Rita Ora,Active Client,6,Alfredo Condit,YDTDPCSYJ1OK,,688.54,Single,Nationwide Mut Ins Co_Copy,Personal Auto,2018-12-04,2019-06-04,Rick Kramer,Melba Kirby & Lucile Ponce,adamk@sbcglobal.net,Male,Melba Kirby,Germanton,Personal,5268665845,9999 Ricelynd Ct,NC,27019-9413,1968-10-19,,,,
Rita Ora,Active Client,6,Phil Chico,VP89I7QU5GWM,,1186.99,Single,Nationwide Mut Ins Co,Personal Auto,2018-09-01,2019-03-01,Scott Chang,Ginger Lipford & Jacob Coleman,howler@outlook.com,Male,Ginger Lipford,Winston Salem,Personal,1985071669,3903 Wayne Ave,NC,27104-3737,1968-10-19,,,,
Rita Ora,Active Client,6,Brandie Placencia,RVX407MCBBFU,,1172.84,Single,Nationwide Mut Ins Co_Copy,Personal Auto,2019-03-01,2019-09-01,Maria Patton,Ozell Tomes & Morton Aguilar,parksh@icloud.com,Male,Ozell Tomes,Winston Salem,Personal,6880814375,3903 Wayne Ave,NC,27104-3737,1968-10-19,,,,
Rita Ora,Active Client,6,Sol Birney,1Q35YV1GFDJR,,1010.49,Single,Nationwide Mut Ins Co,Personal Auto,2018-09-23,2019-03-23,Loren Buckley,Jacquline Cliff & Wally Hawkins,wenzlaff@att.net,Female,Jacquline Cliff,Lewisville,Personal,3264687919,315 Graydon Ct,NC,27023-9514,1968-10-19,,,,
Rita Ora,Active Client,6,Yee Ribble,MXLSCATZBLJJ,,562.79,Single,Nationwide Mut Ins Co_Copy,Personal Auto,2018-11-18,2019-05-18,Kory Vazquez,Demetria Mcgrory & Isaiah Johns,andersbr@gmail.com,Male,Demetria Mcgrory,Pfafftown,Personal,4138477659,6920 Yadkinville Rd,NC,27040-8542,1968-10-19,,,,
Rita Ora,Active Client,6,Carmella Landers,TSSO5VAYW6AR,,852.7,Single,Nationwide Mut Ins Co,Personal Auto,2018-09-15,2019-03-15,Rupert Petty,Ethyl Merida & Jamaal Hayden,sassen@icloud.com,Female,Ethyl Merida,Lexington,Personal,2104543552,421 Welcome Arcadia Rd,NC,27295-5406,1968-10-19,,,,
Rita Ora,Active Client,6,Jared Roan,10DGYWMIM5YU,,298.39,Single,Nationwide Mut Ins Co,Personal Auto,2018-09-24,2019-03-24,Darcy Brown,Lashawn Gayton & Reba Hinton,lahvak@me.com,Female,Lashawn Gayton,Lexington,Personal,2505201683,1354 Enterprise Rd,NC,27295-7328,1968-10-19,,,,
Rita Ora,Active Client,6,Victorina Ebert,T5OO4P6TMBQX,,916.1,Single,Nationwide Mut Ins Co,Personal Auto,2018-09-29,2019-03-29,Fay Herring,Sherrell Quirk & Pablo Russell,wenzlaff@mac.com,,Sherrell Quirk,Winston Salem,Personal,6506853179,1137 Orchard View Dr,NC,27127-5907,1968-10-19,,,,
Rita Ora,Active Client,6,Emiko Lobo,0UBTC4EKQ7EX,,916.1,Single,Nationwide Mut Ins Co_Copy,Personal Auto,2018-09-29,2019-03-29,Kelvin Ramirez,Tawny Rosenthal & Reid Reyes,jrkorson@yahoo.ca,,Tawny Rosenthal,Winston Salem,Personal,5209639379,1137 Orchard View Dr,NC,27127-5907,1968-10-19,,,,
Rita Ora,Active Client,6,Xavier Hughes,9RWOBAI5D9DU,,275.56,Single,Nationwide Mut Ins Co_Copy,Personal Auto,2018-12-11,2019-06-11,Dwain Reid,Lang Spevak & Emery Farmer,bebing@verizon.net,Male,Lang Spevak,Winston Salem,Personal,5865532474,4515 Zachary St,NC,27107-6445,1968-10-19,,,,
