agent,userType,policy_mode,producer,policy_number,premium_amount_written,premium_amount,policy_type,company_name,category_name,policy_start_date,policy_end_date,csr,account_name,email,gender,firstname,city,account_type,phone,address,state,zip,dob,primary,Applicant ID,agency_id,hasActive ClientPolicy
John Snow,Active Client,6,Alfredo Condit,849LI3S59MMJ,,1613.66,Single,Nationwide Prop & Cas Ins Co_Copy,Personal Auto,2018-11-18,2019-05-18,Cara Mccoy,Thelma Gore & Deana Cannon,rcwil@comcast.net,Male,Thelma Gore,Clemmons,Personal,4496860259,P.O. BOX 686,NC,27012-0686,1971-03-14,,,,
John Snow,Active Client,6,Phil Chico,2CHVZNTIUUX5,,527.84,Single,Nationwide Prop & Cas Ins Co_Copy,Personal Auto,2018-12-01,2019-06-01,Harley Kerr,Cynthia Lucas & Arlene Mclean,draper@yahoo.com,Female,Cynthia Lucas,Winston Salem,Personal,3133070787,1403 Peace Ct,NC,27105-5981,1985-12-26,,,,
John Snow,Active Client,6,Brandie Placencia,GX9EKYE694NT,,554.26,Single,Nationwide Mut Ins Co_Copy,Personal Auto,2018-10-22,2019-04-22,Todd Mckee,Elizabeth Snyder & Randy Howe,gmcgath@gmail.com,Male,Elizabeth Snyder,Winston Salem,Personal,5861581288,750 Chatham Rd,NC,27101-1315,1954-08-16,,,,
John Snow,Active Client,6,Sol Birney,FJJ3U2IGIQWP,,634.01,Single,Nationwide Prop & Cas Ins Co_Copy,Personal Auto,2019-01-01,2019-07-01,Sherri Austin,Henry Vance & Thomas Miranda,jonas@outlook.com,Female,Henry Vance,Winston Salem,Personal,9899867698,550 Oaklawn Rd,NC,27107-8605,1954-08-16,,,,
John Snow,Active Client,6,Yee Ribble,QHNGHFAYBXQJ,,687.13,Single,Nationwide Prop & Cas Ins Co_Copy,Personal Auto,2018-11-04,2019-05-04,Lacy Gibson,Lovett Warren & Alisa Barrett,ianbuck@sbcglobal.net,Female,Lovett Warren,Clemmons,Personal,3083932549,215 Fryes Creek Ln,NC,27012-6867,1971-03-14,,,,
John Snow,Active Client,6,Carmella Landers,MN99XSK3207S,,288.56,Single,Nationwide Prop & Cas Ins Co_Copy,Personal Auto,2018-12-22,2019-06-22,Wyatt Holland,Earline Benton & Fanny Keith,benanov@msn.com,,Earline Benton,Winston Salem,Personal,7122737623,157 Weatherwood Ct Apt 13,NC,27103-4982,1971-03-14,,,,
John Snow,Active Client,6,Jared Roan,13F8TLV0JRJG,,298.95,Single,Nationwide Prop & Cas Ins Co,Personal Auto,2018-09-03,2019-03-03,Kris Owen,Charles Rush & Angelo Zavala,joglo@mac.com,Male,Charles Rush,Winston Salem,Personal,6674513318,P.O. BOX 24781,NC,27114-4781,1961-07-03,,,,
John Snow,Active Client,6,Victorina Ebert,7AAO4KR10VCO,,293,Single,Nationwide Prop & Cas Ins Co_Copy,Personal Auto,2019-03-03,2019-09-03,Luann Summers,Francis Geiser & Marva Oneal,erynf@optonline.net,Male,Francis Geiser,Winston Salem,Personal,6339659402,P.O. BOX 24781,NC,27114-4781,1961-07-03,,,,
John Snow,Active Client,6,Emiko Lobo,R51AO7I6E4SC,,384.19,Single,Nationwide Mut Ins Co_Copy,Personal Auto,2019-02-04,2019-08-04,Opal Orozco,Thomas Litchard & Lyndon Cohen,scotfl@me.com,,Thomas Litchard,Winston Salem,Personal,5726617625,620 Waterworks Rd,NC,27101-1929,1957-03-20,,,,
John Snow,Active Client,6,Xavier Hughes,VXQ1TYA6TL7B,,611.43,Single,Nationwide Prop & Cas Ins Co_Copy,Personal Auto,2019-02-07,2019-08-07,Bobbi Moore,David Slater & Dewey Clarke,sriha@mac.com,Female,David Slater,Winston Salem,Personal,1263788575,140 Cloverfield Ct,NC,27127-9756,1957-03-20,,,,
